Diagnose 1,Diagnose 2,,p-values for RR
M51,G96,"1,21","7,273E-12"
C18,D63,"3,1",0
M80,I46,"1,34","1,348E-13"
E11,J81,"1,83",0
J20,J03,"1,32","8,265E-61"
I48,F05,"1,18","7,024E-27"
C16,D63,"5,62",0
Q25,B34,"2,03","2,591E-140"
K50,K91,"27,09",0
E66,N19,"1,22","1,218E-25"
G45,G40,"2,48",0
G40,D64,"1,12","2,567E-25"
I50,E50,"4,96",0
I10,D68,"1,31","4,926E-86"
G62,E86,"1,49","1,016E-64"
C53,D63,"7,81",0
I48,F01,"1,34","4,023E-104"
I10,D50,"1,08","3,072E-23"
C18,C77,"3,23",0
K57,K91,"2,72","1,509E-264"
E10,N39,"1,79",0
H36,I46,"1,86","2,401E-53"
D86,M81,"4,04",0
I35,I31,"10,68",0
M35,N39,"1,23","6,02E-51"
F10,G96,"1,47","4,134E-65"
K50,M81,"2,46",0
I10,K55,"1,23","4,611E-39"
G45,F00,"1,28","4,245E-14"
I48,D62,"1,24","2,253E-89"
I64,N30,"1,22","8,933E-248"
C61,N39,"1,15","5,695E-50"
K25,C16,"4,31",0
I20,I31,"1,96","9,779E-200"
C77,I89,"6,46",0
H81,F00,"1,36","4,588E-11"
G45,F32,"1,26","1,57E-38"
I25,D62,"1,33","1,028E-139"
I48,J15,"1,14","6,431E-109"
N87,N92,"1,18","9,268E-40"
I69,A41,"1,37","5,888E-299"
M35,M85,3,0
C77,E86,"1,43","2,013E-101"
M62,E55,"2,39","6,85E-88"
E78,I46,"1,33","2,251E-52"
K51,K56,"5,92",0
E66,E68,"4,05",0
C16,E86,"1,94",5.369673e-314
E10,J15,"1,66",0
E14,I46,"1,89","1,51E-86"
J90,C45,"42,07",0
C15,D63,"3,98",0
C67,N39,"1,5","4,986E-305"
N84,C54,"4,17",0
I35,K02,"5,54",0
I20,E20,"4,17",0
M81,F00,"1,48","1,214E-63"
E10,A09,"2,56",0
E10,N08,"15,49",0
I70,K92,"1,18","1,446E-53"
I20,F41,"1,21","5,344E-33"
I10,N30,"1,1","1,098E-163"
E11,M14,"6,05",0
I73,J22,"1,3","6,897E-12"
F10,G62,"4,23",0
I20,K29,"1,49",0
D64,D46,"8,89",0
I50,I95,"2,03",0
C20,N13,"3,76",0
F10,I61,"2,36",0
E10,M14,"12,98",0
C50,I78,"1,61","4,002E-63"
H36,E87,"1,95","5,933E-131"
E11,K52,"1,2","2,349E-84"
M10,E86,"1,47","2,12E-116"
C54,D64,"1,21","1,667E-23"
I21,I51,2,0
J45,I50,"1,48",0
K59,J96,"1,11","3,127E-18"
C53,K56,"5,26",0
H36,L97,"5,17",0
Q21,B34,"2,27",0
G45,I61,"1,9","1,226E-173"
G40,J69,"5,68",0
C90,J18,"2,76",0
M48,N30,"1,14","3,381E-39"
I63,D68,"2,65","2,005E-284"
E05,M81,"1,15","3,279E-35"
M35,E87,"1,16","5,942E-11"
I48,I95,"1,53",0
C18,K91,"4,38",0
C54,D63,"3,83",0
A46,A41,"1,79",0
F10,J22,"1,81","5,886E-122"
Q21,J18,"2,61",0
M62,E03,"1,19","2,837E-15"
C32,J18,"1,21","3,779E-38"
M10,I46,"1,58","7,674E-31"
Q21,J45,"1,15","1,618E-16"
C44,C79,"1,28","3,724E-37"
Q25,J45,"1,31","1,891E-27"
I21,I73,"1,46","6,822E-252"
