Diagnose 1,Diagnose 2,,p-values for RR
K05,E87,"1,63","4,408E-22"
K26,K52,"1,34","1,288E-29"
K62,K72,"1,34","3,973E-13"
C09,C78,"2,26","3,877E-94"
D46,C92,"42,36",0
M06,I26,"1,23","3,675E-13"
J45,E11,"1,21","9,186E-117"
N03,M85,4,"2,957E-87"
D64,K72,"3,13",0
G45,I65,"15,28",0
I64,I95,"1,16","1,043E-14"
J38,E03,"1,44","3,047E-24"
K35,K66,"2,37","4,242E-37"
N96,E66,"1,53","5,146E-31"
H36,H26,"5,09",0
M51,G95,"1,43","3,246E-38"
Q90,A09,"2,13","1,874E-96"
M54,F43,"1,22","1,146E-16"
J20,F17,"1,72","1,447E-19"
N94,E66,"1,15","1,641E-18"
K92,J22,"1,78","4,837E-49"
D48,L90,"2,43","9,779E-50"
M62,F34,"1,54","0,000000001"
K86,I46,"1,49","7,085E-21"
G80,G47,"3,19","2,746E-155"
Q89,A09,"1,57","4,42E-12"
K50,M25,"1,87","3,721E-171"
M35,I21,"1,18","2,555E-24"
J45,I26,"1,54","2,797E-101"
C50,C41,"4,54",0
I10,N25,"1,43","1,433E-46"
M17,M00,"3,34",0
J45,I25,"1,06","2,72E-15"
K86,M81,"1,63","1,732E-115"
L05,L97,"4,78",0
G35,N21,"9,98",0
N31,F03,"1,51","3,275E-21"
J00,J15,"1,64","1,585E-31"
N83,C56,"3,09",0
L40,M80,"1,65","4,95E-39"
L40,K72,"2,44","1,022E-66"
K35,K57,"1,37","7,387E-23"
D38,C78,"3,07","7,703E-123"
Q62,B34,"1,73","6,322E-87"
C81,J96,"2,25","2,57E-113"
Q25,H50,"1,49","4,162E-11"
C32,D63,"1,51","1,946E-28"
H36,A49,"1,85","2,323E-53"
C32,C14,"40,63",0
I20,G25,"1,17","0,000000001"
Q90,J12,"4,32","5,808E-165"
K25,K43,"1,48","6,569E-65"
D37,K59,"1,64","7,435E-43"
I63,E64,"1,45","3,388E-26"
B18,K72,"17,13",0
K04,J90,"2,05","4,104E-28"
M80,L89,"1,61","6,143E-51"
I21,I49,"1,66",0
I83,L89,"1,72","4,586E-112"
H36,D50,"1,5","2,537E-30"
K04,J18,"1,3","1,593E-42"
I49,D68,"1,72","3,322E-45"
K80,I10,"1,09","2,325E-65"
L03,M79,"1,14","3,355E-14"
C91,L98,"3,32",0
N40,N32,"4,07",0
K25,A04,"1,43","4,781E-18"
M05,A46,"1,63","1,059E-94"
E84,B44,"106,23",0
M47,I10,"1,1","1,739E-27"
K26,N18,"1,15","7,333E-12"
M05,B37,"1,6","8,945E-41"
C77,K59,"1,21","1,027E-33"
J45,G43,"1,14","5,789E-13"
K25,E55,"1,42","6,718E-13"
K52,F17,"1,32","9,416E-14"
H36,D62,"1,56","1,816E-20"
B23,B24,"108,94",0
M48,N31,"2,26","1,323E-156"
Q25,J06,"2,06","1,929E-26"
J98,M85,"1,7","7,292E-24"
M13,L98,"1,81","7,137E-74"
J84,M85,"4,42",0
K29,E66,"1,21","5,021E-35"
C83,D63,"2,29","2,833E-275"
N30,L98,"1,21","3,145E-35"
G35,A49,"1,91","3,196E-77"
M81,E64,"1,88","2,266E-92"
C67,N17,"1,32","5,013E-26"
N03,M81,"2,45","2,251E-121"
K50,L90,"2,05","7,072E-122"
G40,A46,"1,13","2,238E-13"
D86,A41,"1,26","1,715E-10"
N03,A09,"4,92",0
C32,K22,"4,22",0
M23,M67,"3,45",0
C06,C79,"1,44","9,032E-15"
C53,E87,"1,96","1,045E-127"
D12,K65,"1,32","3,509E-19"
K80,K83,"10,78",0
C67,N30,"1,76",0
H28,E86,"1,55","3,789E-11"
C43,G95,"2,7","3,093E-124"
G40,A49,"1,44","6,204E-71"
C02,K10,"22,01",0
E10,A63,"2,1","3,676E-286"
L68,E11,"2,29","8,124E-97"
H36,F01,"1,67","1,52E-15"
H36,I95,"1,92","4,153E-50"
M54,M96,"7,23",0
G56,G96,"1,26","8,383E-12"
C18,G95,"2,01","7,611E-132"
G56,E66,"1,18","6,186E-58"
I25,N28,"1,35","1,087E-77"
G82,N39,"5,26",0
N03,J18,"2,27",0
M05,M20,"4,81",0
E11,F33,"1,37","3,675E-106"
C92,B25,"39,45",0
C91,B00,"16,2",0
M07,M81,"2,02","9,818E-119"
C81,K02,"6,48",0
G99,I69,"2,94","6,547E-77"
F33,I46,"1,51","1,768E-10"
I11,I46,"1,81","1,348E-31"
F03,J69,"2,13","1,351E-81"
I48,I27,"2,13",0
K04,I31,"4,32","8,458E-57"
C09,K02,"17,83",0
J44,F33,"1,41","6,364E-177"
N87,N94,"1,36","4,368E-49"
J20,J46,"4,32",0
K59,J22,"1,31","5,439E-17"
K86,N39,"1,24","4,39E-23"
A46,L97,"5,98",0
I10,I31,"1,16","1,024E-11"
C04,K10,"34,36",0
F32,J22,"2,44","9,114E-129"
G12,J18,"2,01",0
I21,I22,"7,37",0
N03,I46,"2,83","7,545E-51"
C67,G95,"1,97","7,149E-107"
C53,C55,"31,89",0
L97,J15,"1,31","6,214E-38"
K30,K81,"1,51","1,456E-35"
J44,J42,"5,29",0
N31,L98,"1,7","4,237E-28"
M54,M13,"1,19","1,126E-27"
F10,J94,"1,26","4,826E-14"
I48,E25,"1,37","1,233E-20"
L02,E68,"1,61","1,241E-10"
I47,F41,"1,43","9,118E-32"
G80,M89,"5,27",0
Q05,G82,"17,53",0
J44,A46,"1,49",0
C62,D64,"1,45","7,156E-20"
M47,F33,"1,37","2,322E-13"
K05,C80,"4,02","9,801E-76"
J18,D83,"3,27","6,216E-144"
J44,F32,"1,42",0
E10,J90,"1,26","5,327E-33"
B34,J03,"1,51","9,5E-127"
N18,B25,"10,6",0
E78,F01,"1,55","8,683E-55"
C91,B25,"33,54",0
F99,J96,"1,67","1,472E-13"
K70,I61,"2,51","4,445E-231"
N20,C65,"1,94","5,719E-30"
F10,F06,"3,59",0
N03,K05,"8,26",0
I35,K55,"1,76","3,28E-57"
G91,E86,"1,57","6,085E-46"
M62,E56,"1,99","5,247E-11"
L04,C85,"11,38","9,927E-266"
J44,B96,"2,3","6,201E-274"
G62,D64,"1,24","1,761E-24"
L03,B18,"2,32","2,014E-88"
E10,N25,"5,21",0
E16,L89,"2,85","2,482E-169"
H71,H95,"98,69",0
K30,K80,"2,18",0
L40,I50,"1,14","2,015E-13"
I12,K05,"5,58","8,687E-188"
K70,K65,"8,06",0
Q37,H65,"3,5",6.084237e-314
F10,F00,"1,41","1,612E-14"
K26,E64,"1,64","2,904E-19"
K27,K59,"1,4",7E-40
K02,E64,"4,05","4,604E-67"
M05,A08,"1,6","2,257E-28"
G62,L89,"2,21","8,756E-61"
M45,J96,"1,49","5,019E-15"
I21,I42,"1,59","8,313E-189"
K05,D63,"1,49","5,62E-12"
K74,E86,"2,18","2,145E-231"
J18,J69,"2,78",0
M35,F33,"1,28","1,625E-10"
E13,G96,"4,91","3,816E-62"
H36,J81,"2,25","1,032E-76"
I25,E14,"1,6",0
I64,F33,"1,49","2,078E-83"
G45,G41,"1,67","3,741E-15"
M32,N18,"8,84",0
D30,N13,"3,33",0
C20,C18,"8,25",0
C20,N48,"2,67","6,132E-149"
C54,N13,"3,65",0
C09,C34,"1,62","1,322E-31"
C53,K91,"3,92","6,958E-287"
M81,F04,"1,82","5,843E-13"
J21,H65,"1,35","3,043E-15"
Q05,N31,"100,36",0
G82,L98,"4,35",0
I85,A41,"2,58",0
K59,J15,"1,19","2,881E-42"
J45,F44,"1,66","1,582E-24"
I48,D69,"1,19","2,356E-30"
D48,F43,"2,07","1,452E-18"
Q90,Q24,"9,16",0
E66,L98,"1,51","9,769E-127"
C77,I97,"3,09","6,032E-90"
N40,N10,"1,82","1,416E-212"
I64,N31,"1,4","7,838E-40"
Q61,J18,"1,59","1,98E-113"
L03,L89,"2,01","6,877E-46"
M48,F33,"1,45","1,181E-31"
C85,B37,"3,56","2,131E-218"
C16,F41,"2,93","5,52E-129"
K51,E64,"1,92","1,971E-38"
K05,D64,"1,42","1,184E-28"
I25,K05,"1,18","1,082E-28"
I21,N17,"1,49","2,18E-103"
M35,I35,"1,39","3,967E-60"
F10,L02,"1,2","2,32E-90"
J37,J44,"1,52","3,77E-69"
C20,K46,"3,58","6,688E-112"
K02,J15,"1,6","3,296E-27"
I20,F43,"1,15","1,407E-10"
I34,N18,"1,92","2,815E-252"
M62,M75,"1,8",0
C09,E64,"12,96",0
I20,E10,"1,35",0
A46,J22,"1,34","1,076E-09"
C83,D70,"11,21",0
I48,E14,"1,07","6,809E-17"
L60,E66,"1,5","1,597E-36"
K44,K52,"1,48","7,538E-57"
H36,M14,"13,57",0
G43,I69,"2,05","5,99E-130"
C83,B00,"15,83",0
C82,J15,"1,65","3,703E-44"
C61,N35,"1,72","5,684E-190"
K80,E65,"1,39","6,263E-24"
C91,B59,"45,86",0
C32,E64,"5,72","1,349E-225"
M02,M08,"14,66",0
N31,K59,"2,61",0
K86,A49,"2,38","1,398E-145"
B34,F79,"1,36","4,207E-10"
I11,A41,"1,36","3,966E-34"
J44,F17,"2,15",0
K20,E87,"1,46","4,714E-30"
C09,E86,"2,35","2,744E-103"
H36,I44,"1,72","3,711E-51"
E11,I15,"2,51",0
M10,N19,"3,4",0
N20,N99,"1,89","5,161E-94"
C16,K56,"2,52","4,369E-263"
C13,C78,"2,04","2,086E-55"
E05,H50,"3,65",0
C54,C55,"38,85",0
M95,J22,"4,01","8,239E-49"
E11,E15,"5,59",0
B18,C22,"28,94",0
N48,H36,"2,29","1,335E-87"
N03,I70,"2,81","4,681E-256"
G56,M47,"1,63","1,139E-237"
I65,I51,"1,65","3,461E-19"
D39,C78,"2,05","2,895E-37"
I20,I25,"4,33",0
Q90,H52,"11,62",0
M17,L08,"1,18","2,461E-18"
M79,I73,"1,23","3,214E-34"
C15,F41,"2,66","2,013E-95"
M15,K59,"1,19","5,579E-10"
K44,D64,"1,62","1,794E-263"
E11,I24,"1,73","5,67E-243"
N03,K04,"6,15","5,665E-291"
C50,K10,"1,29","4,989E-18"
E10,K92,"1,47",0
G64,J96,"1,63","1,155E-11"
J20,D83,"1,67","1,893E-12"
A46,N18,"1,29","2,297E-38"
K61,F17,"3,32",0
C84,A41,"6,01",0
E03,L89,"1,3","4,208E-15"
C81,E03,"2,31","2,147E-58"
H81,E55,"2,09","2,192E-40"
J42,N30,"1,23","4,359E-71"
G35,D35,"3,89","1,409E-203"
E10,F17,"1,13","3,691E-13"
G40,E64,"1,93","4,25E-97"
Q25,K02,"2,6","2,571E-39"
I35,J94,"1,91","2,491E-80"
K29,F41,"1,66","2,308E-55"
N63,D71,"2,41","1,027E-13"
G40,F03,"3,05",0
E10,F32,"1,58",0
E14,F03,"1,41","4,351E-56"
C06,E64,"9,62","2,53E-282"
G62,K72,"3,64","3,413E-135"
I34,K10,"4,23","4,714E-187"
D30,I71,"1,12","8,536E-10"
N10,N11,"28,52",0
A15,E86,"1,6","5,445E-16"
C20,N82,"11,24",0
E11,L30,"1,38","5,441E-110"
I35,J22,"1,41","1,698E-26"
M35,A04,"1,77","5,848E-38"
L04,C83,"8,76","8,092E-142"
M13,M81,"1,54","5,291E-127"
C25,C26,"39,7",0
C09,J18,"1,26","5,184E-18"
K51,M13,"1,63","8,644E-81"
Q25,H90,"2,13","1,452E-34"
K30,F34,"1,78","1,409E-20"
K58,K56,"1,42","1,545E-24"
K21,K55,"1,45","4,806E-12"
Q37,H72,"3,39","6,111E-51"
Q90,H91,"5,73",0
K25,K52,"1,5","2,986E-85"
K70,N39,"1,5","3,461E-135"
K61,E66,"1,18","1,026E-12"
D05,L90,"2,66","3,178E-31"
M54,K25,"1,1","1,581E-13"
H36,N25,"4,07","1,169E-79"
I48,E50,"2,01","2,522E-150"
I20,I15,"1,42","1,816E-149"
K25,F17,"2,37","6,813E-193"
K29,K81,"2,06","2,748E-121"
I65,K55,"2,14","7,01E-20"
G82,J15,"3,64",0
I25,E70,"2,33","1,011E-131"
G40,D50,"1,15","9,658E-12"
G40,F79,"12,2",0
M51,G55,"4,48",0
I73,K55,"3,14","1,04E-219"
N92,E68,"1,31","2,534E-11"
I64,F32,"1,85",0
G35,J22,"2,51","2,774E-69"
C53,N32,"3,72","5,625E-129"
G40,L30,"1,42","1,345E-57"
I50,K52,"1,1","1,842E-20"
N61,F17,"1,53","1,189E-09"
F11,B18,"33,07",0
N04,A41,"2,65","2,459E-103"
F32,J81,"1,26","1,147E-11"
K70,C22,"11,22",0
I85,I98,"86,93",0
F10,A40,2,"9,858E-136"
F10,F20,"2,88",0
I12,J15,"1,52","3,289E-22"
A39,H91,"2,82","7,782E-40"
C61,G83,"4,5",0
M81,F01,"1,4","3,099E-28"
I21,I97,"1,62","5,831E-29"
K51,I26,"1,48","5,639E-39"
E11,E83,"1,36","5,204E-67"
L20,M85,"2,06","5,783E-18"
G40,L08,"1,37","8,368E-68"
J15,I46,"1,61","1,542E-53"
A46,N17,"1,7","4,706E-52"
G80,J96,"5,62",0
F10,E41,"3,71","1,616E-147"
J41,M85,"1,8","2,078E-11"
M34,J18,"2,24","2,825E-260"
C20,K63,"4,36",0
E10,N10,"2,29",0
D51,N18,"1,41","3,53E-18"
J44,M82,"2,48","2,309E-177"
M06,M82,"7,37","6,801E-253"
C77,K02,"4,17",0
M89,M80,"1,83","4,973E-39"
K25,K55,"2,62","1,615E-147"
C81,B37,"7,96",0
K29,K63,"1,51","2,229E-36"
J18,D84,"3,59","1,362E-281"
N03,E21,"18,56",0
E11,G62,"1,23","1,362E-64"
K86,E87,"2,45","1,405E-297"
D25,K66,"1,59","4,439E-26"
E11,N25,"1,99","1,662E-132"
G35,J20,"2,2","2,618E-104"
L28,E86,"1,43","8,742E-11"
G80,H52,"7,12",0
L02,L89,"3,28",0
I63,G40,"3,28",0
F10,F23,"4,89",0
K21,K62,"1,26","4,607E-44"
J98,I46,"1,88","1,357E-36"
K50,E87,"1,83","1,516E-109"
F10,I62,"4,04",0
Q90,E86,"3,2","3,535E-133"
K20,M81,"1,19","7,254E-13"
K50,K65,"6,63",0
C09,K12,"20,39",0
C61,D07,"7,04",0
E11,B37,"1,1","1,25E-10"
L03,L97,"3,19",0
D86,H25,"1,46","7,054E-37"
M34,M85,"3,96","4,282E-140"
E05,H53,"1,88","1,581E-104"
I12,A49,"4,45","1,521E-167"
E05,H57,"1,76","2,051E-33"
C20,K83,"1,5","1,19E-34"
K05,J95,"5,13","3,396E-54"
C69,C78,"4,83","2,077E-229"
H25,H27,"4,71",0
I10,N28,"1,37","3,611E-107"
Q25,A08,"1,64","2,012E-20"
C91,D80,"11,41",0
C54,C49,"7,53","1,882E-289"
C79,D63,"5,53",0
E11,H54,"1,65","1,041E-145"
I51,I46,"2,5","4,571E-71"
C56,D70,"3,31","4,217E-122"
L02,E66,"1,39","2,836E-145"
D86,J15,"2,94","4,232E-249"
H36,N08,"14,49",0
K51,I80,"1,23","1,084E-21"
M41,E86,"1,35","2,489E-14"
M21,L97,"1,39","7,905E-12"
M06,A04,"1,86","9,733E-49"
G40,K02,"2,43",0
D46,A41,"4,13",0
K86,D64,"1,84","3,035E-272"
G95,L89,"5,98","1,196E-292"
K30,C15,"2,01","2,078E-85"
D45,D64,"1,29","1,284E-15"
I20,J20,"1,3","1,382E-94"
J00,H65,"1,95",0
K62,F17,"1,77","3,222E-122"
E11,A08,"1,56","1,009E-164"
L30,F03,"1,31","3,21E-13"
I10,E16,"1,48",0
E10,N28,"2,1","8,144E-272"
C91,A04,"4,79",0
K51,K72,"1,35","3,485E-10"
I70,J44,"1,17","4,65E-203"
K04,J95,"4,04","3,041E-41"
K70,C13,"1,95","4,837E-32"
C56,N82,"4,55",0
C91,L57,"5,94",0
N31,L89,"8,57",0
N87,C53,"5,23",0
H81,F41,"1,78","2,242E-39"
J20,J05,"1,4","1,234E-115"
K26,K55,"1,96","1,687E-41"
M62,F43,"1,3","8,08E-14"
I80,D69,"1,64","3,437E-46"
J44,E25,"1,68","1,192E-55"
I34,K92,"1,35","2,576E-38"
M06,B37,"1,66","1,332E-51"
J00,L50,"1,44","9,85E-14"
M06,A46,"1,79","1,835E-152"
K04,E64,"2,79","1,703E-36"
J43,M80,"2,86","4,588E-270"
I25,L08,"1,13","1,726E-18"
I34,E87,"1,32","3,266E-26"
Q21,E34,"1,59","1,652E-13"
C90,B37,"3,64",0
E11,E70,"3,32","2,949E-265"
Q39,J18,"6,63",0
L02,H36,"2,11","2,22E-256"
M13,J22,"1,51","5,637E-10"
J41,J22,"3,29","1,837E-35"
L30,J22,"1,68","7,578E-10"
K92,I98,"19,82",0
K50,F17,"2,04","2,985E-159"
C54,I80,"1,57","1,183E-54"
K04,I08,9,"1,076E-92"
K29,K62,"1,5","8,252E-160"
I25,F17,"1,56","5,598E-293"
M32,E86,"1,84","1,451E-39"
E11,A46,"2,01",0
D48,I89,"2,57","1,787E-26"
C91,E23,"3,49","2,757E-158"
C88,E86,"1,37","6,006E-19"
C34,D69,"1,44","8,482E-61"
K50,E64,"4,61","6,526E-282"
D12,F17,"1,95","3,634E-141"
M06,N06,"15,03",0
I88,C85,"15,52",0
K76,M81,"1,19","1,747E-10"
F10,K44,"1,48","2,167E-231"
I35,K03,9,0
B34,M35,"1,4","1,549E-13"
K25,K83,"1,39","1,449E-21"
C16,K91,"3,16","2,266E-123"
K70,C10,"1,82","2,257E-24"
G62,N39,"1,43","1,205E-57"
J44,A08,"1,48","3,724E-179"
C44,C80,"1,68","1,748E-31"
C67,D67,"21,9",0
G56,G98,"4,92",0
N03,E87,"4,02","1,455E-230"
K73,M85,"3,84","2,727E-68"
C18,E34,"2,71","7,527E-126"
C77,D70,"7,53",0
F10,K30,"1,17","1,398E-69"
D30,N10,"1,73","8,685E-83"
J44,F44,"3,5","3,134E-255"
Q89,M89,"4,6","3,616E-35"
G40,H54,"4,79",0
C62,E87,"2,02","3,102E-40"
I21,E50,"1,65","2,11E-25"
K59,L89,"1,62","2,087E-98"
E11,A40,"1,51","5,418E-76"
I70,E25,"2,27","1,61E-54"
F10,J93,"1,28","5,229E-33"
K10,J96,"1,39","1,21E-10"
K10,E86,"1,53","3,091E-19"
C64,N18,"1,66","3,574E-89"
L23,F17,"1,82","8,456E-16"
K26,C17,"3,67","3,827E-55"
C90,K10,"8,87",0
N18,A49,"4,2",0
E66,I66,"10,1",0
A46,F03,"1,19","6,017E-19"
I27,I46,"2,55","1,564E-72"
J94,C45,"28,37",0
I35,J91,"1,73","1,027E-67"
I47,E03,"1,88","2,099E-286"
G43,E78,"1,41","4,84E-42"
F10,E16,"1,81",0
K70,M81,"1,22","9,17E-27"
Q75,H91,"2,31","6,52E-43"
J45,J47,"6,91",0
K60,F17,"2,25","1,589E-162"
I12,L98,"3,01","5,065E-99"
N48,E14,"1,97","5,608E-67"
C67,K43,"1,33","2,178E-42"
B23,B22,"112,53",0
G25,E86,"1,34","5,639E-11"
G62,L97,"1,75","5,814E-58"
Q61,N19,"18,87",0
Q25,J12,"2,84","4,057E-96"
M54,E53,"1,75","9,231E-33"
J99,J15,"2,73","7,091E-46"
I80,M66,"4,5","6,691E-190"
J45,F33,"1,58","1,553E-78"
Q20,H65,"2,68","1,108E-154"
L73,E66,"1,76","1,713E-87"
L98,J96,"1,4","1,22E-37"
N92,K66,"1,48","8,107E-31"
C32,K12,"8,58","1,184E-280"
K51,N82,"7,9",0
I48,I08,"2,2","3,9E-160"
D50,E86,"1,19","6,539E-34"
N80,K59,"1,25","8,306E-19"
G40,H53,"3,22",0
E11,G93,"1,21","1,981E-14"
L97,E86,"1,39","8,004E-116"
D27,N99,"3,79","6,264E-218"
H81,E78,"1,18","6,504E-25"
K05,J90,"2,13","1,423E-26"
D48,N63,"2,44","6,197E-151"
K25,N19,"1,15","8,235E-12"
G40,F41,"1,73","1,371E-137"
L08,A41,"1,52","8,041E-55"
N92,D68,"1,28","1,383E-21"
K21,K43,"1,4","4,343E-51"
C54,K91,"1,7","2,128E-21"
G40,M21,"1,35","3,774E-40"
L02,L73,"18,17",0
D35,M81,"2,39","9,407E-166"
Q21,J15,"2,1","6,337E-76"
M31,A09,"2,1","1,07E-134"
E10,J94,"1,24","8,45E-15"
M35,I95,"1,32","2,24E-13"
E11,E68,"3,1","1,231E-130"
C67,K63,"1,43","6,344E-32"
N20,D35,"1,65","1,187E-28"
K74,M81,"1,58","7,675E-72"
C53,K63,"3,55","9,133E-254"
G40,E55,"1,67","1,658E-47"
M35,A46,"1,55","3,724E-71"
I42,D64,"1,21","9,612E-27"
L02,N17,"1,35","1,759E-16"
C92,B37,"12,02",0
I63,E72,"5,37","2,832E-88"
J44,D50,"1,17","3,256E-80"
I10,I74,"1,17","2,232E-29"
J45,M10,"1,38","8,335E-42"
D37,K56,"2,54","8,938E-83"
C81,K05,"5,62","3,119E-267"
N03,K02,"4,47","6,99E-134"
I80,E72,"7,32","3,717E-144"
C21,D63,"3,94","1,578E-198"
M02,M80,"1,58","3,258E-11"
I20,I52,"3,57","1,453E-79"
Q31,J35,"1,93","2,925E-17"
C92,A04,"7,26",0
I12,K04,"4,31","9,797E-124"
C56,C77,"2,76",0
I34,D62,"1,92","3,18E-72"
Q61,L98,"3,29","1,685E-137"
G35,J81,"1,45","7,543E-12"
I74,D68,"6,78","4,623E-260"
Q90,H50,"5,53",0
K42,K72,"2,59","2,253E-88"
M07,M85,"1,81","1,388E-21"
J00,B01,"1,6","9,597E-20"
J44,I51,"1,33","9,427E-133"
N31,A49,"1,78","1,814E-22"
G37,N31,"11,24","3,686E-234"
J44,A09,"1,29","1,582E-241"
L30,M81,"1,37","1,49E-38"
C02,C79,"1,64","4,753E-16"
C06,I89,"9,32","1,36E-232"
J42,N17,"1,5","1,003E-25"
D50,N18,"1,69","1,226E-158"
C67,I89,"3,66","4,721E-275"
N18,A41,"4,47",0
C19,K43,"2,8","2,431E-46"
G35,B37,"1,64","1,939E-34"
M08,M81,"9,97",0
N19,I46,3,0
C51,C77,"7,71",0
K29,K76,"2,73",0
E11,F06,"1,24","3,199E-14"
C20,I82,"1,81","5,109E-42"
I83,I97,"1,46","2,623E-18"
L40,F17,"1,57","1,427E-29"
C21,E86,"1,4","9,508E-17"
B18,J96,"1,6","1,377E-38"
E10,K02,"1,89","2,644E-259"
B18,F17,"1,99","5,241E-71"
K65,L90,"2,5","3,402E-40"
Q21,J06,"2,87","2,67E-139"
H36,H33,"9,89",0
J44,J69,"1,17","6,684E-15"
E10,D62,"1,52","1,138E-125"
C61,D61,"1,46","2,503E-22"
A63,C21,"17,13","2,253E-214"
F10,I60,"1,75","6,608E-127"
C13,J96,"1,73","2,899E-31"
N70,M62,"1,83","1,049E-113"
C77,G47,"1,45","1,406E-41"
I42,I46,"4,29",0
N03,A49,"4,24","8,784E-146"
H06,M81,"1,84","3,483E-34"
N87,N95,"1,33","5,726E-17"
I34,K02,"3,74","1,264E-186"
K90,M85,"2,26","6,602E-28"
L40,L89,"1,68","3,024E-23"
N19,B25,"10,28","1,611E-271"
G40,H52,"2,51",0
Q18,C77,"5,1","1,717E-166"
K80,K57,"1,29","1,943E-109"
L73,F17,"3,62","3,956E-126"
Q21,E64,"2,84","5,678E-33"
J21,J45,"2,59",0
Q90,A08,"3,23","4,535E-120"
I35,I95,"1,52","1,443E-72"
K57,C17,"1,65","4,03E-10"
K44,E66,"1,42","8,074E-90"
G82,L97,"4,14",0
G12,G82,"37,61",0
F11,A41,"5,46",0
Q53,E30,"1,79","7,035E-12"
I80,M71,"4,19",0
N04,K65,"9,26","2,492E-267"
I34,D59,"6,32","8,508E-228"
D23,C49,"3,52","4,859E-83"
J99,J96,"4,28","3,104E-156"
K50,N18,"1,26","1,017E-19"
D35,H53,"24,88",0
K86,F17,"4,46",0
N13,C79,"2,58",0
D33,N31,"3,76","1,655E-139"
K26,C25,"1,71","2,447E-42"
M62,A08,"1,31","2,652E-14"
K30,F41,"1,54","8,506E-44"
H40,E16,"1,54","3,445E-37"
C43,C71,"3,38","2,617E-197"
L04,C82,"14,43","7,385E-144"
E11,N11,"2,05","5,896E-132"
I63,J69,"2,27","1,82E-128"
L03,M13,"1,69","3,46E-43"
D11,C85,"2,53","5,475E-42"
E10,G62,"1,7","9,384E-293"
K26,E55,"1,55","2,859E-13"
C81,K01,"8,19",0
I85,E86,"2,04","4,911E-137"
C24,D63,"3,49","9,251E-165"
F10,F13,"8,03",0
Q05,N10,"10,34",0
E11,I65,"1,16","1,605E-21"
K26,C22,"1,61","1,454E-14"
H34,I64,"1,46","2,011E-44"
I85,K72,"32,22",0
E10,I15,"4,77",0
K02,A41,"1,76","2,059E-56"
M62,L29,"1,48","3,566E-10"
M41,J22,"3,23","6,467E-31"
G62,J22,"1,62","1,726E-11"
I60,G40,"3,34",0
I85,I46,"1,66","4,334E-19"
Q03,H50,"6,05","6,272E-180"
F20,I46,"2,91","2,559E-75"
M35,A49,"1,42","1,298E-21"
M10,L98,"2,31","1,48E-167"
G62,E87,"1,77","1,458E-69"
C16,C78,"5,02",0
K10,L98,"1,93","9,176E-25"
M31,L97,"1,48","5,863E-27"
M62,H81,"1,65","3,709E-110"
I34,K08,"3,9","1,798E-239"
M54,G64,"1,59","8,449E-32"
J45,I11,"1,72","1,809E-90"
E16,E86,"1,63","1,639E-169"
N70,K57,"2,49","2,051E-57"
I84,C21,"3,59","3,08E-117"
J00,L20,"1,31","3,883E-13"
I11,N18,"2,22","1,062E-231"
B34,I46,"1,74","2,891E-13"
K35,K56,"1,94","3,967E-143"
B34,H60,"1,45","9,037E-11"
G35,G82,"8,72",0
K51,M80,"1,2","6,598E-10"
K86,E64,"7,03",0
G80,J15,"5,87",0
C67,C23,"12,37",0
E13,M85,"2,32","5,251E-21"
F79,A41,"2,05","6,026E-33"
E16,N17,"2,26","5,49E-82"
J44,B02,"1,73","1,185E-270"
J00,H60,"1,77","7,864E-14"
K20,K55,"1,82","5,488E-16"
F11,F17,5,"3,318E-221"
M32,N39,"2,06","5,721E-115"
I34,N17,"2,76","2,504E-193"
H40,H26,"3,86",0
C50,J70,"2,81","1,685E-73"
F10,H54,"1,67","6,06E-72"
M34,J96,"2,8","1,114E-157"
M62,Q40,"1,91","9,711E-20"
M50,J38,"1,66","3,309E-38"
I80,D75,"3,31","1,073E-219"
H28,A41,"1,88","6,676E-19"
Q90,J15,"5,38","5,634E-262"
M05,M43,"4,31",0
K10,E64,"6,69","6,531E-110"
G91,H50,"5,49","1,428E-293"
N04,N18,"17,02",0
J41,K59,"1,29","4,39E-15"
M89,A49,"2,37","5,689E-49"
I20,E35,"1,86","2,269E-25"
M35,Q80,"20,89","1,944E-272"
G71,J95,"47,7",0
F10,F34,"4,87",0
I97,C78,"1,9","7,304E-20"
L98,A41,"2,1","7,901E-267"
F32,L89,"1,54","5,073E-41"
I26,I27,"9,07",0
H34,I63,"1,73","3,819E-70"
M16,M96,"2,14","7,009E-108"
C49,J96,"1,31","2,525E-10"
K80,K74,"1,38","1,564E-39"
K85,F17,"3,76",0
G62,J18,"1,29","2,578E-69"
I20,K44,"1,34","1,584E-252"
K26,A04,"1,58","4,39E-21"
C67,I80,"1,34","2,423E-67"
J45,E68,"1,88","3,528E-35"
I20,I28,"2,41","8,005E-57"
I25,I69,"1,36",0
K02,D63,"1,47","1,093E-09"
J45,D83,"2,82","4,07E-158"
E66,E14,"3,73",0
G43,F32,"2,26","7,85E-150"
G63,E86,"1,69","1,559E-16"
C56,E61,"9,39",0
I15,L98,"2,37","1,066E-111"
H40,H54,"7,57",0
C88,A41,"3,67",0
J42,A46,"1,5","1,009E-60"
K51,D64,"1,12","3,029E-12"
G12,J15,"2,19","2,564E-108"
L95,J96,"1,96","2,421E-24"
C77,K05,"4,43",0
Q21,L08,"1,69","2,008E-19"
M10,J22,"1,45","3,048E-10"
K76,C22,"10,26",0
